,District,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Price
279,三峽區,公寓,鋼筋混凝土造,87.0,2.0,2.0,2.0,4200000.0
280,三峽區,住宅大樓,鋼筋混凝土造,38.52,1.0,1.0,1.0,4000000.0
281,三峽區,住宅大樓,鋼筋混凝土造,133.87,3.0,2.0,2.0,13600000.0
282,三峽區,公寓,鋼筋混凝土造,88.03,3.0,2.0,1.0,5100000.0
283,三峽區,華廈,鋼筋混凝土造,104.08,2.0,1.0,1.0,6600000.0
284,三峽區,住宅大樓,鋼筋混凝土造,134.41,2.0,1.0,1.0,8480000.0
285,三峽區,住宅大樓,鋼筋混凝土造,137.12,3.0,2.0,2.0,11700000.0
286,三峽區,公寓,鋼筋混凝土造,90.86,3.0,2.0,1.0,5600000.0
287,三峽區,住宅大樓,鋼筋混凝土造,162.03,3.0,2.0,2.0,10300000.0
288,三峽區,住宅大樓,鋼筋混凝土造,41.01,1.0,0.0,1.0,4166666.0
289,三峽區,住宅大樓,鋼筋混凝土造,132.89,3.0,2.0,2.0,12000000.0
290,三峽區,住宅大樓,鋼筋混凝土造,161.81,3.0,2.0,2.0,12050000.0
291,三峽區,住宅大樓,鋼筋混凝土造,135.79,3.0,2.0,2.0,12080000.0
292,三峽區,華廈,鋼筋混凝土造,144.45,3.0,2.0,2.0,10000000.0
293,三峽區,住宅大樓,鋼筋混凝土造,117.78,3.0,2.0,2.0,9600000.0
294,三峽區,住宅大樓,鋼筋混凝土造,93.9,3.0,2.0,2.0,7900000.0
295,三峽區,公寓,鋼筋混凝土造,71.51,2.0,2.0,1.0,4500000.0
296,三峽區,住宅大樓,鋼筋混凝土造,119.21,3.0,2.0,2.0,8300000.0
297,三峽區,華廈,鋼筋混凝土造,154.36,3.0,3.0,2.0,8450000.0
298,三峽區,住宅大樓,鋼筋混凝土造,93.91,3.0,2.0,2.0,8000000.0
299,三峽區,住宅大樓,鋼筋混凝土造,125.4,3.0,2.0,2.0,10000000.0
